co_curso,cpc_faixa
6,4
19,4
26,3
27,3
29,4
36,4
18354,3
22118,4
25903,3
25949,3
26025,3
41690,3
94331,3
100775,4
100777,4
101184,3
106050,3
106052,4
112846,4
116560,3
116690,3
118002,4
1103426,3
1103701,3
1103708,4
1103709,4
1103710,4
1103711,4
1103712,3
1103742,3
1168551,4
1285517,4
127,4
133,3
142,4
150,4
151,4
158,4
159,4
160,4
161,4
162,4
163,4
18032,4
26978,4
27858,4
29692,4
29693,4
33204,4
33205,4
34644,4
34983,4
34992,4
44362,4
44366,4
44369,4
44372,3
44377,4
44382,4
44418,3
52159,3
122214,4
122220,3
300118,4
300129,4
1138346,4
1192413,4
297,4
310,4
311,4
315,4
317,4
318,4
322,3
326,4
327,4
328,4
20190,4
20763,4
20768,4
20782,4
80419,3
80877,3
80886,4
80896,4
95017,4
95037,4
95050,3
95051,4
95053,3
95055,3
95057,4
95059,4
99406,4
99423,4
99425,3
99426,4
101666,4
1108064,4
379,3
380,3
381,4
382,4
396,4
397,4
398,4
402,4
403,3
407,3
27733,3
34646,3
62484,4
62486,3
62512,3
101606,3
101614,3
101639,3
101641,3
104364,4
104366,4
112086,3
112100,3
112102,3
116832,3
300403,3
1103469,2
1106983,4
1110779,3
487,4
494,4
495,3
496,3
498,3
513,4
519,3
525,4
32832,3
33221,4
56030,4
73192,4
94086,3
99714,4
99860,3
102588,3
102590,4
104018,4
116638,4
116642,3
300518,3
300520,3
1105124,3
1105133,3
1105815,3
1105825,0
1105828,3
1105897,4
592,4
593,4
594,4
595,4
18876,4
18877,5
21158,3
80779,4
112592,5
112600,4
112606,4
300592,4
300595,5
318876,4
1083188,4
1168454,3
614,4
621,4
623,4
624,3
630,4
635,4
637,4
29672,4
31302,4
45111,4
81283,4
96401,4
96403,4
99189,4
112680,4
115070,4
115076,4
115078,4
115080,4
115086,4
115088,4
115092,4
115096,4
115098,4
115100,4
115558,4
300621,4
300625,4
300635,4
399189,4
1322704,4
684,4
687,5
694,4
696,4
697,4
700,4
703,5
32834,4
32836,4
39024,4
43869,4
117492,4
118336,3
122354,4
122356,4
122358,4
122360,5
300684,4
300687,4
300700,4
339024,4
343869,4
417492,4
1114569,4
1134829,4
1135277,4
1161839,4
1190583,4
754,4
768,4
769,5
770,3
771,4
772,4
774,4
775,4
778,4
779,4
780,5
42574,4
92117,4
92157,4
92260,4
103380,4
103393,4
300771,4
300772,4
300774,4
1146843,3
1033,4
1034,4
1035,4
1036,4
1044,4
1046,4
1052,3
18390,4
18889,5
20943,5
20944,3
74364,4
74366,4
99501,4
111450,4
116066,4
1103531,4
1428,4
1429,4
1430,4
1435,4
1438,4
1444,4
1445,4
1446,4
1452,4
1453,4
1454,4
18380,4
22947,4
32844,4
102935,4
102944,4
103018,4
103020,4
103022,3
103027,4
103029,3
111378,4
111386,4
115728,4
115872,4
120439,4
301438,4
301453,4
318380,3
403022,3
411354,4
420439,4
1137717,4
5000371,4
5000372,4
2108,3
2110,3
19043,4
19044,4
20234,4
20237,4
20239,4
41324,4
41490,4
45498,3
74215,4
150309,4
150310,3
150311,3
2194,3
2197,3
2199,4
2204,4
2205,3
2206,4
2208,4
2209,3
2211,3
2212,3
2213,4
2215,4
2216,4
2217,4
2221,3
19076,4
19077,3
19078,3
19081,3
22597,4
27512,3
34669,4
35074,0
38102,4
50143,4
54044,3
58518,3
58520,4
58522,3
58524,4
58526,3
58528,2
58588,4
58590,3
59268,3
66263,3
66274,2
66299,3
66303,4
66305,3
95767,3
113824,4
114180,3
114182,3
121954,4
121962,4
302197,3
302217,3
338102,3
1378875,4
115664,3
121131,3
1159447,3
5000884,3
2388,3
2450,4
18671,3
82689,4
82795,3
82810,3
82894,3
83005,3
83034,4
83039,3
83052,3
83132,3
83137,3
83150,0
83152,3
83155,3
83156,3
83199,3
83210,3
83226,3
83231,4
83280,3
83289,3
83296,3
83302,3
83312,3
83316,4
83318,3
83328,4
83330,3
83332,3
83344,4
83353,3
83356,3
83358,3
83392,4
83394,3
83402,4
83404,3
83411,3
83415,3
83960,4
83962,3
83964,3
83966,4
83968,3
83970,3
83972,3
83974,4
84856,4
91497,3
91545,4
91649,4
91671,4
91797,4
91805,4
92385,3
92391,4
92400,2
92433,0
92444,3
103062,3
113172,5
1166897,3
1166899,3
1268525,3
1268556,4
1271848,4
1343136,3
1376204,0
2529,3
2540,4
2541,4
2545,3
53592,0
54520,3
62742,3
92200,4
113293,3
113295,4
117352,3
123124,4
123128,4
302540,4
302541,4
1147485,4
1357571,3
1363761,4
2622,3
2623,4
2626,4
21781,3
21784,4
21785,4
21788,3
21789,3
21794,2
21795,3
21796,3
21797,3
21798,3
21799,3
21801,3
21805,3
21806,4
21807,4
21808,5
21811,4
21812,3
21814,3
21815,3
21819,3
21820,3
21822,3
21824,3
21869,4
21873,2
21874,3
21875,3
21876,3
21879,2
21880,3
21884,2
21885,3
21890,3
21892,2
21895,4
21897,3
21899,3
22418,3
23051,3
25791,4
25792,4
29278,3
31234,3
32987,3
33054,3
34592,3
35095,4
39238,2
39244,4
39269,3
39300,2
39393,3
44052,2
45102,2
47331,3
47333,3
47335,3
60420,2
60428,2
60430,3
60462,2
60464,3
60520,3
64274,3
64276,3
64288,2
64302,2
99588,3
99631,2
99684,3
99765,3
99894,2
99906,3
100148,3
110926,3
120725,3
1149137,2
1349165,2
1430245,3
1430478,3
1430649,3
1431238,3
1431245,3
1457140,3
1457164,2
1458091,3
1458102,3
2700,4
2711,4
2716,3
2717,4
2722,4
2724,4
18399,5
26129,5
36013,4
41057,4
41278,4
41766,5
41848,4
41849,4
41857,5
41858,4
42148,5
47338,4
47339,4
47340,4
47345,3
47358,5
47364,3
47369,3
47370,3
47454,5
47461,4
91897,5
91899,4
91972,4
92175,4
122951,4
123065,4
123067,4
1214936,4
3130,3
3131,4
3132,4
3135,4
3144,4
3145,4
3146,4
3149,4
3150,4
3154,4
3162,4
3163,4
3166,4
3167,3
3168,3
3171,2
3172,4
3179,4
3190,4
3193,4
3197,4
3201,4
3207,4
3209,4
3211,4
3212,3
3214,4
3217,4
3218,4
3219,4
3222,3
22173,4
22178,5
22678,4
28989,4
52048,4
52056,4
52256,4
60255,5
60258,4
60290,4
60384,4
60604,4
61074,4
66981,4
66993,4
67143,4
71419,4
73449,5
82077,4
94725,4
94758,4
120416,4
303130,4
303135,4
303142,4
303144,3
303149,4
303154,4
303162,4
303167,4
303168,5
303222,4
352256,4
382077,4
420416,4
1146513,4
1150789,4
1212121,4
1212124,4
1212262,4
1212263,4
1212284,4
1257438,4
1300116,4
1300317,4
3397,4
3399,4
3400,4
3405,3
3406,4
3407,4
3408,4
3410,4
3416,4
3419,4
21624,4
21625,4
22658,4
34677,4
58184,0
99368,4
99370,3
99397,4
108090,3
122892,0
303400,4
303408,5
303410,4
321624,5
5000539,3
5000544,3
5000546,4
5000547,2
3531,2
3561,4
3563,3
3567,4
3568,4
3569,3
3571,3
3572,3
3573,4
3574,4
18405,3
18410,3
18414,4
18417,4
20933,4
25205,3
30580,3
31505,3
31506,3
32162,3
34009,3
49756,3
57606,3
64518,3
72419,3
72594,3
72598,4
100373,3
303567,3
303574,3
1147173,0
1208951,3
1215159,4
1313979,3
3601,2
3603,2
85760,2
85762,2
1178271,2
3611,2
3612,2
3613,2
3614,1
3615,2
1160932,3
3622,2
18088,2
3662,4
3664,5
3670,4
3671,5
3673,5
3674,3
3675,0
3676,4
34683,3
54172,4
64650,3
303662,4
303673,4
303674,4
1178043,4
1212035,3
4088,3
4090,3
4092,4
18584,3
19491,4
19492,3
19493,4
20530,3
29140,3
32877,3
87561,3
87582,3
87583,3
319491,3
320530,3
1146686,3
1179877,3
1179878,4
1323576,3
4194,4
4195,4
4196,4
48944,4
48946,4
48948,4
66727,4
66729,5
71816,4
96675,4
122298,3
122316,4
122330,4
304194,4
348944,4
348948,4
1174278,4
1421316,4
1421414,5
7828,3
7829,3
7830,3
7839,4
7845,3
18892,4
18894,4
64600,4
64604,3
69445,3
69626,2
69628,3
69634,3
69638,3
86244,3
86388,3
92591,3
92592,3
92595,3
92597,2
92601,3
92602,3
110846,4
110854,3
110860,3
110870,3
110876,3
110882,3
110888,3
110900,3
110996,2
307827,3
1300165,2
1300166,0
8417,4
8418,3
8422,4
8423,4
8424,4
8425,4
8426,4
8428,4
8429,3
8430,4
8439,3
45384,4
59272,3
59412,3
59426,3
59994,4
59996,4
59998,3
87396,4
95631,4
103494,4
121564,3
1257430,3
1321965,3
1342673,3
1342674,3
87481,2
87483,3
87487,2
112262,3
150186,3
94595,2
11300,4
11301,4
11302,4
11303,4
11305,3
11308,4
11310,4
11314,4
11321,4
11322,4
11324,4
11325,4
11326,4
11327,3
11328,4
11329,4
19565,4
22400,4
25785,4
28323,4
70522,3
83158,3
83160,4
111889,4
311300,4
311301,3
311303,3
311310,4
311321,3
311322,4
1438181,4
5000356,4
11426,4
11429,4
11430,5
11431,4
11432,4
11433,3
11435,4
11439,3
11443,3
11447,4
11449,4
11450,4
11452,4
11456,3
11462,3
94283,4
94286,4
103303,4
105438,3
311426,4
311429,3
311430,4
311443,3
311450,3
1268388,4
1313223,4
1313224,4
11529,3
11535,4
11539,4
11540,4
11542,3
11543,4
11544,3
11548,3
11554,4
81516,3
81520,3
99841,3
100024,2
100026,2
113703,3
115686,3
116196,3
116204,3
119046,4
119048,3
119072,3
119074,3
11590,3
11591,3
11592,3
11593,3
11594,3
11598,3
11603,3
11605,3
11613,4
11614,3
25789,3
30397,3
32097,3
82605,3
82615,0
82619,3
113953,3
113958,3
113974,3
114053,0
114055,4
114099,3
311593,4
1182640,3
1182641,3
1190071,3
1265453,3
1314244,3
1343342,3
1376137,3
11885,3
11888,3
11889,3
11893,3
11897,4
11912,4
19733,3
21611,2
25793,3
32990,3
35912,0
81294,3
81296,4
81358,3
81423,3
81640,4
81812,3
81817,3
81821,4
86360,2
86364,3
90697,3
94520,2
94821,3
95462,2
103414,3
103477,3
105052,2
105191,2
105580,3
114002,3
120604,3
121411,2
121700,2
121745,3
121746,3
121748,3
121749,3
1153298,3
1299196,3
1350689,2
1350703,2
1352592,3
1354738,3
1404068,3
1404084,3
1404086,3
1404094,2
1427035,3
1427036,3
1427038,2
1427039,2
1442003,3
1442009,2
1442010,4
1442014,3
1442016,3
1442020,3
1442024,3
1442025,3
1442027,3
1442028,3
1442030,3
1457112,3
1457113,3
1457192,3
1457193,3
1518696,3
1518703,3
1518705,4
11991,0
11992,0
11994,0
11995,0
11996,0
11999,0
12007,0
12022,0
12023,0
12025,0
12026,0
12027,0
12033,0
12035,0
12044,3
12048,3
12052,3
12061,0
12065,0
12069,0
12073,0
12074,0
12085,0
12111,4
18487,0
18491,4
21849,0
23777,0
27645,0
38276,0
60886,0
92851,0
95652,3
104598,0
104640,3
114846,0
114847,0
114850,0
114853,0
114857,0
114874,0
114875,0
114876,3
114877,3
114907,0
114950,0
115013,3
311991,0
311992,0
311994,0
311995,0
1113582,0
1180773,0
1194057,0
1300375,0
1330339,0
1330342,0
1330343,2
1330344,0
1364837,0
12313,5
12315,4
12321,4
12323,4
12324,4
12327,4
12332,4
12335,4
12350,4
12351,4
12353,4
12354,4
18395,3
20938,4
31160,4
34277,4
95667,4
110830,4
116758,4
116770,3
312321,3
312323,4
312327,4
312332,4
312333,4
312334,4
312335,4
1083431,4
1083438,3
1113220,3
1113228,3
1188193,4
12553,4
12555,4
12557,4
12558,4
12560,4
12562,4
12577,5
12581,4
12588,4
41135,3
42461,4
49472,4
49474,4
49848,5
92255,4
111326,4
116522,4
123220,4
123332,4
312555,4
312558,4
312562,4
312577,5
312578,4
312588,4
349476,4
1113241,4
1270221,4
1270226,4
1270232,4
1321684,4
1330365,4
1330366,4
1330368,4
1330369,4
1330370,3
1330371,3
1330372,4
1330373,4
1364271,4
12686,4
12688,4
12689,4
12690,4
12700,4
12702,4
12705,4
12710,4
12713,3
12717,4
25926,4
29470,4
44367,4
82799,4
100406,4
108644,4
123704,4
123729,4
312686,4
312689,4
312700,5
312705,4
344367,4
408644,4
423708,4
1077817,4
1079286,3
1100002,4
1100003,4
1122208,4
1122221,4
1123027,4
1123212,3
1145037,4
1278713,4
12806,4
12812,4
12817,4
12818,4
12819,4
12826,4
12834,4
12835,4
12837,4
12838,4
20037,4
21604,3
52472,4
99086,4
99278,4
116574,3
116576,4
116578,4
116852,4
116854,4
116856,4
116862,4
116868,4
116870,4
116874,4
116878,4
116882,4
116884,4
312812,4
312817,4
312818,3
312834,4
312838,4
1112869,4
1112889,3
1112909,4
1112914,3
1112946,3
1159854,4
1278626,4
12915,4
12916,4
12917,4
12918,4
43967,4
96152,4
96158,4
96483,4
97018,4
117114,3
117128,4
117130,4
117132,4
118120,3
118124,4
312916,4
343967,4
417114,3
417130,0
417132,4
1102636,4
1102674,4
1107032,4
12943,4
12945,4
12946,5
12949,4
12952,4
12962,4
12963,4
12965,4
12967,4
12968,4
12969,4
12973,4
12975,5
12977,4
87195,4
121496,4
312945,4
312949,4
312952,4
312962,4
312965,4
312967,4
312975,5
13086,4
13087,5
13092,4
13097,3
13098,4
13099,4
13100,4
13102,5
13105,4
13106,4
18518,4
65361,5
313086,4
313087,4
313092,4
313097,4
313099,4
313100,4
313106,4
1128364,4
1153949,4
1153951,4
1166037,4
1166038,4
1166039,4
1270439,4
1278855,4
13198,4
13209,3
13210,3
13211,3
13213,4
13216,4
13218,4
13223,4
13225,4
24864,3
29475,4
31171,4
101940,4
101942,4
102150,3
102152,3
102156,4
102166,4
104158,4
107436,4
107487,3
107508,3
107512,4
107516,3
107520,3
107522,3
1139972,3
1151147,3
1151148,3
1151166,3
1151167,3
1151779,4
1151780,3
1288838,4
1288839,3
13273,4
13274,4
13276,4
13277,4
13278,4
13283,4
13293,4
13297,4
13298,4
13300,4
13303,3
13304,3
13312,4
13318,4
13319,4
21080,4
24668,4
24868,4
26911,4
42683,0
106064,4
117052,4
117058,4
117076,4
118024,4
313274,4
313278,4
313283,4
313300,2
313303,3
1132918,4
1142650,3
13399,4
13400,3
13401,4
13402,3
13404,4
13406,4
13409,3
13415,4
13418,4
13423,4
13459,4
97039,3
97767,4
98984,3
99045,3
107352,3
107356,4
107360,4
107438,4
107548,4
107549,4
109626,4
122288,4
122924,4
313399,4
313404,4
313406,4
313409,3
397767,3
1110230,3
1161324,3
5000897,3
5000898,4
13575,4
13577,3
13579,4
13580,4
13591,4
13595,4
13598,3
13604,3
13617,4
13618,4
13619,3
20889,4
21847,3
23910,3
44947,3
44977,4
44992,4
52231,3
52249,3
80088,4
101092,4
101127,3
101140,4
118096,3
118098,4
118100,4
313577,3
313579,4
1136142,4
1155122,4
1192307,4
5000731,4
13717,4
13721,4
13729,4
13741,4
13742,5
45003,4
45004,4
45008,4
45009,4
45024,4
45025,4
45027,4
45030,4
45031,4
45038,4
45039,4
45068,4
45080,4
88652,4
96429,4
100820,4
116768,4
1278881,5
13839,4
13840,5
13873,4
13874,5
13877,4
13881,4
18881,4
41065,3
41069,3
41072,4
45328,4
46588,4
84427,4
84840,4
84985,5
84992,5
103346,4
103349,5
112656,4
117717,4
121286,4
121602,4
121614,4
121636,4
1084792,4
1106427,3
1113713,4
1113727,5
1113732,4
13967,4
13974,4
13976,4
13980,4
13982,4
13984,4
14000,4
27263,4
29489,4
33013,4
37274,4
38217,4
38239,4
38246,3
38273,4
99567,4
100021,4
100256,4
106167,4
116834,3
150099,3
313974,3
313976,4
313982,3
313984,0
337274,3
416834,3
1127191,4
1128911,4
1167971,4
1191427,4
1191555,4
1270596,4
1272079,4
1299927,4
1300429,4
14089,4
14098,4
14102,4
14110,4
14112,3
14123,4
21990,4
21992,4
44485,4
86446,4
121934,3
123429,4
314089,4
314102,3
314110,4
314112,4
314118,4
1110646,3
1111226,4
1113011,4
1113044,4
1113067,3
1113070,4
1131697,4
1295548,4
1304557,4
5001248,3
14217,4
14218,5
14221,4
14224,4
14228,4
14230,4
14231,4
14233,4
14237,3
21600,4
42696,4
51941,4
51945,4
97099,4
116526,4
116536,5
314218,4
314221,4
314228,4
314230,4
314231,2
314239,5
1116025,4
1270371,5
1270372,5
14326,4
14328,4
14332,4
14346,4
14348,4
14349,4
23976,4
29106,4
31957,4
31958,5
31959,4
44363,4
44892,4
44893,4
44900,4
45204,4
85783,4
85786,3
99287,4
107716,4
112584,3
112586,4
116842,4
120924,4
121706,3
314326,4
314346,4
314348,4
1114224,4
1114225,4
1114229,4
1114292,4
1125887,4
1125889,4
1180207,5
14505,4
14506,4
14510,4
14511,4
14512,4
14513,4
14514,4
43917,4
91975,4
101800,4
101830,3
101834,3
118382,3
118420,4
118478,4
1102627,4
1102628,4
14542,4
60006,4
85822,4
102665,4
102667,4
110144,4
112568,4
112572,4
115582,4
409604,3
1102413,4
1102800,4
1126431,4
1127676,4
1128054,4
1128169,4
1150932,3
1151549,4
1152564,4
1152636,4
1152637,4
1161562,4
1164183,4
1164656,4
1270469,4
1270472,4
1341351,4
1341352,4
1400718,4
91262,4
1117715,3
1117717,3
1270672,4
1383124,4
1383125,4
1110857,0
1111794,0
1270678,0
1270680,0
1270681,0
1272128,0
1303971,0
1305225,0
1305265,0
94115,4
101064,4
101219,4
101274,4
101278,4
101280,4
110528,5
401274,4
401276,4
401278,4
1103082,4
1103085,4
1103087,4
1105404,4
18335,4
63838,4
63840,4
101554,4
101556,4
101558,4
114417,4
114419,4
122662,4
150125,4
1102560,4
1120591,4
1314420,4
119126,4
119138,3
1178662,4
1272012,4
20122,4
64794,4
96949,4
96951,4
96953,4
96955,4
105674,4
119914,4
1108032,4
1108033,4
1108035,4
1108041,3
1112281,4
1168401,4
100816,4
100900,4
